Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
Kazakhstan,985458,+442,12969 ,+9,956634,+588,15855,528,51570,679,11575012,605733,19109097
Cuba,964607,+125,8320 ,+3,955798,+57,489,10,85240,735,11536661,1019466,11316376
Morocco,955587,+734,14827 ,+2,937578,+208,3182,103,25443,395,10747683,286162,37558035
Georgia,922707,+2090,13443 ,+76,878022,+1768,31242,None,231963,3379,12692259,3190753,3977825
Nepal,827058,+157,11583 ,+1,810497,+226,4978,114,27650,387,4813350,160917,29911932
Slovakia,825246,+1074,16336 ,+46,753654,+5781,55256,482,151045,2990,5034867,921536,5463559
UAE,749530,+1621,2156 ,+1,740707,+585,6667,None,74452,214,108951396,10822358,10067251
Bulgaria,733882,+743,30528 ,+52,605547,+201,97807,451,106809,4443,7288944,1060835,6870953
Tunisia,722795,+352,25523 ,+7,695094,+180,2178,79,60225,2127,3317178,276393,12001662
Lebanon,711259,+2017,9027 ,+15,652174,None,50058,186,104903,1331,4795578,707295,6780167
Ireland,705322,+13765,5890 ,None,541019,+4763,158413,87,140519,1173,9736837,1939833,5019421
Croatia,693102,+3271,12279 ,+47,658972,+3217,21851,254,170389,3019,3700009,909593,4067762
Belarus,692601,+1529,5484 ,+18,685039,+1636,2078,None,73332,581,10938594,1158170,9444719
Denmark,685408,+9564,3197 ,+10,545213,+5592,136998,73,117719,549,104669714,17977052,5822407
Guatemala,625127,+98,16096 ,+1,607841,+72,1190,5,33964,875,3247587,176444,18405723
Azerbaijan,614119,+501,8284 ,+15,593920,+1092,11915,None,59771,806,5808380,565322,10274461
S. Korea,602045,+5836,5176 ,+105,489943,+4222,106926,1105,11728,101,15804065,307864,51334533
Sri Lanka,583251,+529,14871 ,+19,559128,+278,9252,None,27070,690,5726599,265782,21546199
Bolivia,575247,+2129,19530 ,+14,518099,+1492,37618,220,48305,1640,2633963,221181,11908636
Costa Rica,568860,None,7343 ,None,560239,None,1278,49,110181,1422,2911504,563920,5162977
Saudi Arabia,552406,+325,8870 ,+1,540744,+117,2792,32,15510,249,32743008,919334,35615992
Ecuador,540122,None,33641 ,None,443880,None,62601,759,29941,1865,2103013,116579,18039425
Myanmar,529503,+176,19251 ,+3,507035,+271,3217,None,9636,350,5973823,108714,54949839
Lithuania,510907,+1267,7268 ,+17,477732,+368,25907,116,191638,2726,6545952,2455339,2666007
Panama,487204,+827,7411 ,+2,473428,+318,6365,18,110346,1678,4413125,999518,4415253
Paraguay,465233,+103,16599 ,+1,447548,+72,1086,47,64062,2286,2015881,277586,7262197
Slovenia,455381,+1081,5535 ,+6,433646,+1473,16200,202,219000,2662,2051607,986653,2079361
Venezuela,443167,+168,5313 ,+1,431741,+200,6113,681,15650,188,3359014,118624,28316594
Palestine,438087,+177,4632 ,+4,429669,+321,3786,52,83023,878,2826814,535714,5276722
Kuwait,414911,+150,2468 ,+1,411299,+43,1144,5,95075,566,5838773,1337936,4364016
Dominican Republic,413887,+696,4237 ,+3,407250,+235,2400,78,37596,385,2553956,231989,11008930
Uruguay,407099,+360,6163 ,+1,397006,+233,3930,23,116595,1765,4334499,1241423,3491557
Ethiopia,395750,+5013,6894 ,+6,352131,+106,36725,193,3321,58,4041996,33917,119172553
Mongolia,388311,+248,2054 ,+1,313256,None,73001,192,115693,612,4030048,1200709,3356390
Libya,384663,None,5641 ,None,372884,None,6138,None,54877,805,1999814,285298,7009553
Egypt,380520,+866,21571 ,+25,316656,+760,42293,90,3617,205,3693367,35112,105188973
Honduras,379073,None,10430 ,None,123783,None,244860,50,37393,1029,1135703,112028,10137656
Moldova,374349,+229,9605 ,+16,360211,+293,4533,155,93120,2389,2326057,578610,4020076
Norway,372123,+1989,1257 ,None,88952,None,281914,114,67856,229,9213931,1680148,5483998
Armenia,344379,+118,7942 ,+3,330311,+328,6126,None,115896,2673,2530000,851438,2971445
Oman,305058,+31,4113 ,None,300235,None,710,2,57574,776,25000000,4718251,5298573
Australia,292536,+9947,2188 ,+6,229264,None,61084,126,11278,84,53423074,2059664,25937765
Bosnia and Herzegovina,287276,None,13269 ,None,192218,None,81789,None,88377,4082,1461608,449644,3250587
Kenya,281358,+3749,5359 ,+2,249937,+243,26062,17,5067,97,2987255,53803,55522443
Bahrain,279518,+241,1394 ,None,276808,+46,1316,1,156251,779,7897334,4414619,1788905
Singapore,277555,+248,821 ,+1,273860,+379,2874,19,46897,139,21098774,3564911,5918458
Latvia,271228,+122,4500 ,+6,257097,+799,9631,82,146191,2425,5563299,2998596,1855301
Qatar,247796,+279,614 ,None,244615,+153,2567,13,88253,219,3138247,1117687,2807805 
Estonia,236132,+464,1907 ,None,220676,+320,13549,19,177830,1436,2482002,1869180,1327856
Nigeria,236014,+1305,3014 ,+21,212357,+120,20643,11,1104,14,3751696,17557,213691180
Zambia,231581,+2649,3697 ,+6,210026,+1094,17858,259,12096,193,2888028,150853,19144679
Finland,230392,None,1507 ,None,46000,None,182885,59,41486,271,8501077,1530769,5553467
North Macedonia,222932,+266,7894 ,+15,210319,+717,4719,None,107012,3789,1570171,753713,2083247
Algeria,216376,+278,6229 ,+7,148789,+190,61358,36,4806,138,230861,5128,45022233
Botswana,208994,None,2427 ,None,195479,None,11088,1,86296,1002,1997064,824606,2421841
Albania,207542,+321,3189 ,+2,199133,+300,5220,23,72235,1110,1459507,507983,2873143
Zimbabwe,203746,+1010,4885 ,+14,159974,+4325,38887,12,13419,322,1808782,119132,15183053
Uzbekistan,198099,+181,1477 ,+2,195004,+216,1618,23,5795,43,1377915,40305,34186899
Kyrgyzstan,184439,+44,2792 ,+2,179545,+48,2102,131,27596,418,1903213,284766,6683427
Mozambique,170975,+898,1967 ,+2,151290,None,17718,13,5253,60,1056667,32464,32549274
Montenegro,162828,+464,2389 ,+3,157792,+152,2647,60,259204,3803,952203,1515803,628184
Afghanistan,157902,+11,7352 ,+4,145392,+17,5158,1124,3926,183,816458,20298,40224465
Cyprus,149848,+268,628 ,+1,124370,None,24850,60,122789,515,9477138,7765784,1220371
Namibia,144629,+1053,3608 ,+7,128570,+384,12451,23,55435,1383,858339,328996,2608965
Ghana,134555,None,1269 ,None,129921,None,3365,5,4201,40,2073433,64730,32032012
Uganda,133232,+1251,3274 ,None,98197,+22,31761,85,2783,68,2101546,43897,47874597
El Salvador,121741,None,3818 ,+1,107088,None,10835,91,18630,584,1505621,230405,6534665
Cambodia,120445,+5,3008 ,+1,116853,+8,584,None,7060,176,2758095,161658,17061340
Cameroon,108451,None,1851 ,None,105735,None,865,13,3940,67,1751774,63649,27522522
Laos,105380,+1007,317 ,+12,7339,None,97724,None,14180,43,901338,121282,7431769
Rwanda,104512,+713,1346 ,+1,45522,None,57644,None,7784,100,3890593,289764,13426771
Luxembourg,98983,None,907 ,None,92159,None,5917,18,154409,1415,3795724,5921160,641044
Maldives,94732,+168,261 ,None,92439,+88,2032,23,170803,471,1855901,3346221,554626
Jamaica,92513,+158,2462 ,None,64882,+150,25169,5,31041,826,698418,234344,2980306
